source_url,blog_name,date_iso,title,vlax_core,vlax_context,is_vlax,vlax_match,media_count,fb_albums_count,yt_videos_count
https://www.fuit.gr/2019/07/7-fuit-pindos-atletico-live.html,fuit.gr,2019-07-28T18:47:00.001+03:00,7 χρόνια Fuit με Pindos Atletico Live!,False,True,True,Fuit,1,0,0
https://www.fuit.gr/2019/07/blog-post.html,fuit.gr,2019-07-19T14:16:00.001+03:00,"""Υπέρτατη τιμή ένα μετάλλιο με την εθνική""",False,True,True,Γρεβενά,8,0,0
https://www.fuit.gr/2019/06/diagonismos.html,fuit.gr,2019-07-18T21:30:00.000+03:00,ΝΙΚΗΤΕΣ ΔΙΑΓΩΝΙΣΜΟΥ TRIE - 7 ΧΡΟΝΙΑ FUIT,False,True,True,FUIT,3,0,0
https://www.fuit.gr/2019/07/7-fuit-art-cafe.html,fuit.gr,2019-07-18T14:25:00.001+03:00,7 χρόνια FUIT ART CAFE,False,True,True,FUIT,15,0,0
https://www.fuit.gr/2019/06/pindos-atletico.html,fuit.gr,2019-06-21T12:24:00.001+03:00,7 ΧΡΟΝΙΑ FUIT - PINDOS ATLETICO LIVE ,False,True,True,FUIT,2,0,0
https://www.fuit.gr/2019/06/7-fuit-art-cafe-all-day-party.html,fuit.gr,2019-06-20T13:46:00.001+03:00,7 ΧΡΟΝΙΑ FUIT ART CAFE - All day party,False,True,True,FUIT,5,0,0
https://www.fuit.gr/2019/06/petrakis.html,fuit.gr,2019-06-18T15:04:00.000+03:00,“Η αναπηρία πρέπει να είναι... πλεονέκτημα”,False,True,True,Βασιλίτσα,11,0,0
https://www.fuit.gr/2019/06/kerasopita.html,fuit.gr,2019-06-17T14:05:00.000+03:00,Σπιτική ΚΕΡΑΣΟΠΙΤΑ,False,False,False,,6,0,0
https://www.fuit.gr/2019/06/towels.html,fuit.gr,2019-06-12T13:26:00.001+03:00,Καλοκαιρινές πετσέτες fuit ,False,True,True,fuit,9,0,0
https://www.fuit.gr/2019/06/takis-kitsioulis-live.html,fuit.gr,2019-06-06T16:02:00.001+03:00,Takis Kitsioulis live,False,True,True,Fuit,1,0,0
https://www.fuit.gr/2019/06/malamas.html,fuit.gr,2019-06-06T13:08:00.001+03:00,Ξεκίνησε η προπώληση για τη συναυλία του Μάλαμα στα Γρεβενά ,False,True,True,Γρεβενά,3,0,0
https://www.fuit.gr/2019/06/manitarogiorti.html,fuit.gr,2019-06-04T15:28:00.003+03:00,5η συνάντηση Μανιταρόφιλων για την Πανελλήνια Μανιταρογιορτή ,False,True,True,Γρεβενά,2,0,0
https://www.fuit.gr/2019/06/cookies.html,fuit.gr,2019-06-03T16:07:00.000+03:00,Σπιτικά Cookies με κομμάτια σοκολάτας,False,True,True,fuit,3,0,0
https://www.fuit.gr/2019/05/tripadvisor.html,fuit.gr,2019-05-29T13:33:00.001+03:00,Δεύτερη συνεχόμενη χρονιά Πιστοποιητικό διάκρισης στο tripadvisor για το Fuit ,False,True,True,Fuit,2,0,0
https://www.fuit.gr/2019/05/non-serviam-rotting-christ-fuit.html,fuit.gr,2019-05-27T15:21:00.000+03:00,NON SERVIAM - ROTTING CHRIST η επίσημη βιογραφία αποκλειστικά στο fuit,False,True,True,fuit,3,0,1
https://www.fuit.gr/2019/05/7-years-fuit-art-cafe-video.html,fuit.gr,2019-05-27T14:38:00.000+03:00,7 years Fuit Art Cafe (video),False,True,True,Fuit,1,0,1
https://www.fuit.gr/2019/05/kitsioulis.html,fuit.gr,2019-05-21T16:30:00.000+03:00,Σάββατο 25 Μαϊου - ΚΙΤΣΙΟΥΛΗΣ... ΔΑΓΚΩΤΟ ,False,True,True,fuit,3,0,0
https://www.fuit.gr/2019/05/pcp.html,fuit.gr,2019-05-21T16:15:00.000+03:00,ΝΙΚΗΤΕΣ ΔΙΑΓΩΝΙΣΜΟΥ PCP,False,True,True,fuit,2,0,0
https://www.fuit.gr/2019/05/kraniou.html,fuit.gr,2019-05-18T13:54:00.000+03:00,"Αλέξης Κρανίου: ""Το fuit κάνει γνωστά τα Γρεβενά στο εξωτερικό""",False,True,True,fuit,1,0,0
https://www.fuit.gr/2019/04/filter-coffee-not-people.html,fuit.gr,2019-05-18T13:52:00.000+03:00,"Filter coffee, not people!",False,True,True,Γρεβενά,11,0,0
https://www.fuit.gr/2019/05/eisvoleas.html,fuit.gr,2019-05-18T12:44:00.000+03:00,"Εισβολέας: ""Το πιο υπέροχο στενό της πόλης""",False,True,True,Γρεβενά,1,0,0
https://www.fuit.gr/2019/05/konstantis-pistiolis-vol04.html,fuit.gr,2019-05-17T15:12:00.003+03:00,Κωσταντής Πιστιόλης vol.04,False,True,True,vol.,1,0,0
https://www.fuit.gr/2019/05/katsarini.html,fuit.gr,2019-05-16T14:21:00.000+03:00,"Χρύσα Κατσαρίνη: ""Το fuit είναι χώρος που αφήνει το στίγμα του στην πόλη""",False,True,True,fuit,1,0,0
https://www.fuit.gr/2019/05/to-fuit-1o-igloo-project.html,fuit.gr,2019-05-15T15:00:00.000+03:00,To fuit χορηγός στο 1o επίσημο Igloo Project στη Βασιλίτσα (video),False,True,True,fuit,11,0,1
