asset_id,event_id,source,url,local_path,width_x_height,credit,sha256
ast_0014,ev_003,blogs,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEizKNBmEx0tXxkHyOn13adFuDd3PzWRHv4XXrjjT7JJuP1OztGJjXY3e64f1_zfnBxVntgz_povf3_4TdZEufGQB0BodvOYhsndburR7njdOT5ERvQk4geJfXS78N1y6nVzu3KonixYCyDz/s0/75429480_456781934817524_1974791053206618112_n.jpg,/Users/graogro/Dropbox/vlax-archive/raw/blogs/media/2020-12-28_ΑΝΑΣΚΟΠΗΣΗ_2020___Κι_όμως_υπήρ_1.jpg,0x0,fuit.gr,94a357882b416cc65508fc464eca63f4b5c816ff32b2d249d94a2c0f25c4b75c
ast_0015,ev_003,blogs,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjSXVafsrm6GQtc3h3I60wDHVSMoXHZh9vkwahEyV2pr8J4acSmVOR6wwoT5zOj2cKZ8-DK55NA7b0Thv6qMLUN-qaQWI7Bp32ZhzjcoefLzBexscZpbM_ASYdWPcW6t8xDte2SBFtl6uCB/s0/75289860_431135197524529_4297129288047525888_n.jpg,/Users/graogro/Dropbox/vlax-archive/raw/blogs/media/2020-12-28_ΑΝΑΣΚΟΠΗΣΗ_2020___Κι_όμως_υπήρ_2.jpg,0x0,fuit.gr,8ff5c9e4b84fe49096c5abc5c60a7d4c9cb5376c68de46270bf050b47c416c07
ast_0016,ev_003,blogs,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEggK8D595AvYz0PGgxz7qiVb8RrKadshrkqjkAU8Z17N5xwCzgnzFQBUsl6RKkNOY_G1gQKbtnWA2ouY-jiVdz8F6GTgYm3NKmeCVjyzTTWRRpiMkl9iEoNSyhqiNmVprL6dKAAd-qXTq7a/s0/134233427_249886039866711_8771693104279337463_n.jpg,/Users/graogro/Dropbox/vlax-archive/raw/blogs/media/2020-12-28_ΑΝΑΣΚΟΠΗΣΗ_2020___Κι_όμως_υπήρ_3.jpg,0x0,fuit.gr,c8d3db87a2beba0c8e3ff87f8864dac3a6e01e9660aebe51daf07feb8979ba78
ast_0017,ev_003,blogs,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEh0_lTPTekJfF0mjEiIn2TYbot6SCizVSb89ovY4MsIHscFRW9T_NUpuqX7d5dhJvKtv-DQHtHOJLGoBG-wAXttgFsneJ_IeDBAO8Eqa32Fh6HJxaiYZRKopWuse1Ksv-0KDJymtx52YlpI/s0/133847556_728864551088007_679626110782785301_n.jpg,/Users/graogro/Dropbox/vlax-archive/raw/blogs/media/2020-12-28_ΑΝΑΣΚΟΠΗΣΗ_2020___Κι_όμως_υπήρ_4.jpg,0x0,fuit.gr,08f703128452499d6702a5cb9ebb21220f61781eb0ca86f30de5477f400807aa
ast_0018,ev_003,blogs,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEilJDswInwJxCoJwG3XebRkHA_ZnhcwW4ugG1nNEFW9MFSHegQgZtx4_NJ4REWDJdOb3nD9diYGFA5GBBAa0K1t8R5Y_nfwfo89gtVqV_U7jM6O66WdmQZc11LtnrBKL2P6kO3yyaCgjauZ/s0/133986206_1125236121229290_1654784056261293669_n+%25281%2529.jpg,/Users/graogro/Dropbox/vlax-archive/raw/blogs/media/2020-12-28_ΑΝΑΣΚΟΠΗΣΗ_2020___Κι_όμως_υπήρ_5.jpg,0x0,fuit.gr,88b990a1db2ce2883d0d898e6742b064a73751ce23cacb88509b0aec1e62445b
ast_0019,ev_003,blogs,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiGSRENECkyRpmzKdlJmZWcJobxw-OIlcXWbq1TgOX5KQTOmtpeYBCnvpWsryT-ruN4_UbY5J-z9VY0mn3L2t0_cFttCBksmXVhsNgOH7bNGkVOcXFyCwXfrvzkYPTEIEeEtjFciE5AT10N/s0/133885472_435693027800668_1775201194025670506_n.jpg,/Users/graogro/Dropbox/vlax-archive/raw/blogs/media/2020-12-28_ΑΝΑΣΚΟΠΗΣΗ_2020___Κι_όμως_υπήρ_6.jpg,0x0,fuit.gr,607ee1d86f75d731dc7e8777ac94b8a93a502b3986cccf34e45011ff7f21d643
ast_0020,ev_003,blogs,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiR4rpKu17TSSzAS9Y9ccPhL6nPArZOCw1gUmncyJUk8MbCUld4xf7ifOoTYbiM2Wh5pCY1Px3jdjX0VD72pbAE2G8o5mbbMVXd4EZPnrZIW4Fv2LG0x0D5TK-vE3VHfbydJepijy9ugzzV/s0/133903087_701677317388718_5384835912230472480_n.jpg,/Users/graogro/Dropbox/vlax-archive/raw/blogs/media/2020-12-28_ΑΝΑΣΚΟΠΗΣΗ_2020___Κι_όμως_υπήρ_7.jpg,0x0,fuit.gr,eb8f78434fbd19b85e78f0573c0f8caad6acfe79b26cab97ce06c9fdfbf4aee2
ast_0021,ev_003,blogs,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEird16otsK4wcJIjq7yiEIEkfGEicFr-qW9mhY14-7VppjYniDgwJB8b4-o86_ZV4HHRzoMmVGKo1IwiOt1vU_BGJI6O-8WoIOc2e7bfqy_FcNLJS4WmErBRfT4ePwZoGSzJuzy99wmoVdE/s0/133805191_154820052736594_4342225896357514888_n.jpg,/Users/graogro/Dropbox/vlax-archive/raw/blogs/media/2020-12-28_ΑΝΑΣΚΟΠΗΣΗ_2020___Κι_όμως_υπήρ_8.jpg,0x0,fuit.gr,4a9c62f6911bdc3e62a81dd03d8d4b318fa8df20efbd527171644b39801fdf36
ast_0022,ev_003,blogs,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhTZ4_PpCk3ZYwj3Bw4t5lL3TplUTgz6U41H59Yn3NVa3K1OQfHZ2xQAsS-3OBWqrTJ8IRfabuH_uAkzIt0ezPxi4JcCUltd7gfm0GuCazn4-KYRhjs31or9-wwW42gqyb5wdTcuAvH1HZ6/s0/133721922_772692106927021_7444735749748915098_n.jpg,/Users/graogro/Dropbox/vlax-archive/raw/blogs/media/2020-12-28_ΑΝΑΣΚΟΠΗΣΗ_2020___Κι_όμως_υπήρ_9.jpg,0x0,fuit.gr,da445416e93725477ce4a8ea5d977bd0af0ca4884b9906dbbaadb90e6264bf35
ast_0023,ev_003,blogs,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEi-ISDWXNYrIGfett3lp4iMse-RsMlFhA3PfrphC7lHcH0RN2M4BjnYMBKhjkUQ7SGFhzBdW7QFg7t_ki3nA2JAM5di7dKuq9jmXowpIo_jNmVFGWpQIeE8yTIX09Q4EDGTKbxqzPcFdmqy/s0/133769936_895596334510581_5040433382396682228_n+%25281%2529.jpg,/Users/graogro/Dropbox/vlax-archive/raw/blogs/media/2020-12-28_ΑΝΑΣΚΟΠΗΣΗ_2020___Κι_όμως_υπήρ_10.jpg,0x0,fuit.gr,b3df350f73deec281b458d87bd63885089fab68fa8bf893fc062fc9e5d7b618d
ast_0024,ev_003,blogs,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEiSSIy9SwkPv9hOWc5NWIMmfsSQT99r3IKfe4ZkQ3r6vOsNXd-ykDZldKqA5v7-cw3xJAcYZyR57ALQCRS5jv3K0a0Sfbcxx5G0UljNmrE5YSPi_qEnH6etEsrNNg5_Yc5lXYu3xUBxoZL6/s0/133877773_2860619174153735_6294955169481822610_n.jpg,/Users/graogro/Dropbox/vlax-archive/raw/blogs/media/2020-12-28_ΑΝΑΣΚΟΠΗΣΗ_2020___Κι_όμως_υπήρ_11.jpg,0x0,fuit.gr,58e3763faf3dbbbc5b6e590c65d94c6a4620313a22843436479ffc30e352183e
ast_0025,ev_003,blogs,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEg532bHqKCaU2a4nOXwp-AYzVJChWQWnDAdzHu0KxjyPMumQHqNC2Mz4W9LUYuoplEEUrlQVb_uyW7pblpUAiyNYq1Z4PsdV3tLI3qRhB3ny9klAqWO55M07NaGlQZMqDSI2Hw0Q8j4tB4m/s0/134093882_109882860925560_6261390498450919571_n.jpg,/Users/graogro/Dropbox/vlax-archive/raw/blogs/media/2020-12-28_ΑΝΑΣΚΟΠΗΣΗ_2020___Κι_όμως_υπήρ_12.jpg,0x0,fuit.gr,0f0215ae3f1c142c5e3adbb33e932a9d7e9eea40982becb795a9b0911bd89806
ast_0026,ev_003,blogs,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhtNt3LbMM9u1XOabUUQAcYpB7B82YMCiL8EiVDVCytxXi8EBaOu9hQ8E0IP9v1si9ipXav9htITTty4SfjmWBmdhWZqHOE3KHS8YLNogVktoUhL-oo-zM5aKZ4a2SH8lHJaF_QxyKNuCbm/s0/133993505_232557801639492_3694285253554920303_n.jpg,/Users/graogro/Dropbox/vlax-archive/raw/blogs/media/2020-12-28_ΑΝΑΣΚΟΠΗΣΗ_2020___Κι_όμως_υπήρ_13.jpg,0x0,fuit.gr,40d806614fb5bb5785a751b87ad383da85413eb307acbbce6afaedf971d6c705
